9024,Tutee0001,7,남성,베트남어,중급,주말,"오전, 오후, 저녁"
9025,Tutee0002,9,남성,베트남어,고급,주말,"오후, 저녁"
9026,Tutee0003,8,남성,한국어,초급,주말,오전
9027,Tutee0004,10,남성,한국어,중급,주말,오전
9028,Tutee0005,10,여성,한국어,초급,평일,"오후, 저녁"
9029,Tutee0006,10,여성,한국어,중급,주말,"오전, 저녁"
9030,Tutee0007,9,남성,중국어,중급,주말,"오전, 저녁"
9031,Tutee0008,7,남성,중국어,중급,주말,오전
9032,Tutee0009,8,남성,한국어,초급,평일,"오전, 오후, 저녁"
9033,Tutee0010,10,남성,베트남어,중급,평일,오전
9034,Tutee0011,9,여성,중국어,고급,평일,"오전, 오후, 저녁"
9035,Tutee0012,10,여성,중국어,중급,평일,"오전, 오후, 저녁"
9036,Tutee0013,10,남성,베트남어,초급,평일,오전
9037,Tutee0014,7,여성,베트남어,초급,평일,오후
9038,Tutee0015,7,여성,베트남어,초급,평일,저녁
9039,Tutee0016,8,남성,베트남어,고급,평일,"오전, 저녁"
9040,Tutee0017,9,여성,베트남어,고급,주말,"오전, 오후"
9041,Tutee0018,7,여성,베트남어,중급,주말,저녁
9042,Tutee0019,7,여성,베트남어,고급,주말,"오전, 오후, 저녁"
9043,Tutee0020,8,여성,한국어,초급,주말,저녁
9044,Tutee0021,9,남성,베트남어,중급,주말,"오전, 오후"
9045,Tutee0022,10,남성,중국어,고급,평일,"오전, 오후"
9046,Tutee0023,8,남성,중국어,초급,평일,오후
9047,Tutee0024,7,여성,중국어,고급,주말,"오후, 저녁"
9048,Tutee0025,10,남성,중국어,중급,평일,"오후, 저녁"
9049,Tutee0026,9,남성,베트남어,고급,주말,"오전, 저녁"
9050,Tutee0027,8,남성,중국어,중급,주말,"오전, 오후, 저녁"
9051,Tutee0028,8,여성,한국어,중급,주말,"오전, 오후, 저녁"
9052,Tutee0029,7,남성,중국어,초급,평일,오전
9053,Tutee0030,10,여성,베트남어,초급,평일,저녁
9054,Tutee0031,7,여성,한국어,초급,주말,"오전, 저녁"
9055,Tutee0032,10,남성,한국어,초급,평일,저녁
9056,Tutee0033,7,여성,베트남어,초급,주말,오후
9057,Tutee0034,7,남성,베트남어,초급,주말,"오전, 오후"
9058,Tutee0035,7,남성,중국어,중급,평일,오후
9059,Tutee0036,7,남성,한국어,초급,평일,"오전, 오후"
9060,Tutee0037,8,여성,베트남어,초급,주말,"오전, 오후, 저녁"
9061,Tutee0038,7,여성,중국어,중급,평일,오후
9062,Tutee0039,7,여성,중국어,고급,주말,오후
9063,Tutee0040,10,남성,베트남어,중급,주말,저녁
9064,Tutee0041,9,여성,베트남어,중급,주말,"오전, 오후"
9065,Tutee0042,7,남성,중국어,중급,주말,"오전, 오후"
9066,Tutee0043,10,여성,한국어,고급,주말,오후
9067,Tutee0044,8,남성,한국어,중급,평일,오후
9068,Tutee0045,8,여성,중국어,중급,주말,저녁
9069,Tutee0046,8,남성,중국어,고급,평일,"오전, 오후, 저녁"
9070,Tutee0047,9,여성,한국어,고급,주말,"오후, 저녁"
9071,Tutee0048,9,남성,한국어,중급,평일,"오전, 저녁"
9072,Tutee0049,10,여성,베트남어,초급,주말,"오후, 저녁"
9073,Tutee0050,9,남성,베트남어,고급,평일,"오전, 오후"
9074,Tutee0051,10,남성,베트남어,중급,주말,오후
9075,Tutee0052,7,남성,중국어,중급,주말,저녁
9076,Tutee0053,7,여성,베트남어,중급,평일,"오전, 오후, 저녁"
9077,Tutee0054,8,남성,중국어,중급,주말,"오전, 오후"
9078,Tutee0055,10,남성,중국어,초급,주말,오전
9079,Tutee0056,9,여성,중국어,초급,평일,"오전, 오후"
9080,Tutee0057,10,남성,한국어,중급,주말,오전
9081,Tutee0058,8,남성,한국어,초급,주말,오후
9082,Tutee0059,7,여성,베트남어,초급,평일,"오전, 오후"
9083,Tutee0060,7,여성,중국어,초급,주말,오후
9084,Tutee0061,7,여성,중국어,중급,주말,오전
9085,Tutee0062,8,여성,중국어,고급,평일,"오전, 오후, 저녁"
9086,Tutee0063,8,여성,한국어,중급,주말,저녁
9087,Tutee0064,7,남성,한국어,중급,평일,"오후, 저녁"
9088,Tutee0065,7,남성,중국어,고급,주말,오후
9089,Tutee0066,7,여성,베트남어,중급,평일,오후
9090,Tutee0067,10,남성,베트남어,고급,주말,"오전, 오후"
9091,Tutee0068,9,남성,베트남어,중급,평일,"오전, 저녁"
9092,Tutee0069,8,여성,베트남어,고급,평일,"오전, 저녁"
9093,Tutee0070,8,여성,베트남어,초급,평일,오전
9094,Tutee0071,8,여성,베트남어,초급,평일,"오후, 저녁"
9095,Tutee0072,8,남성,베트남어,중급,주말,오전
9096,Tutee0073,9,남성,한국어,중급,주말,"오전, 오후"
9097,Tutee0074,10,남성,중국어,중급,주말,"오전, 오후"
9098,Tutee0075,8,여성,한국어,중급,주말,"오후, 저녁"
9099,Tutee0076,9,남성,중국어,초급,주말,오후
9100,Tutee0077,9,여성,중국어,중급,주말,"오전, 오후"
9101,Tutee0078,8,여성,베트남어,초급,주말,"오전, 오후, 저녁"
9102,Tutee0079,10,남성,베트남어,중급,주말,오후
